DrugBankID,DiseaseID,miRNA
DB00783,D003920,let-7a
DB00773,D003920,let-7a
DB03843,D003920,let-7a
DB00331,D003920,let-7a
DB00544,D003920,let-7a
DB01169,D003920,let-7a
DB00169,D003920,let-7a
DB00783,D008175,let-7a
DB00773,D008175,let-7a
DB03843,D008175,let-7a
DB00467,D008175,let-7a
DB00331,D008175,let-7a
DB00544,D008175,let-7a
DB01169,D008175,let-7a
DB00169,D008175,let-7a
DB00783,D000544,let-7a
DB00773,D000544,let-7a
DB03843,D000544,let-7a
DB00331,D000544,let-7a
DB00544,D000544,let-7a
DB01169,D000544,let-7a
DB00169,D000544,let-7a
DB00783,D010003,let-7a
DB00773,D010003,let-7a
DB03843,D010003,let-7a
DB00331,D010003,let-7a
DB00544,D010003,let-7a
DB01169,D010003,let-7a
DB00169,D010003,let-7a
DB00783,D002357,let-7a
DB00773,D002357,let-7a
DB03843,D002357,let-7a
DB00331,D002357,let-7a
DB00544,D002357,let-7a
DB01169,D002357,let-7a
DB00783,D001943,let-7a
DB00773,D001943,let-7a
DB03843,D001943,let-7a
DB00467,D001943,let-7a
DB00331,D001943,let-7a
DB00544,D001943,let-7a
DB01169,D001943,let-7a
DB00169,D001943,let-7a
DB00783,D009203,let-7a
DB00773,D009203,let-7a
DB03843,D009203,let-7a
DB00331,D009203,let-7a
DB00544,D009203,let-7a
DB01169,D009203,let-7a
DB00169,D009203,let-7a
DB00783,D058186,let-7a
DB00773,D058186,let-7a
DB03843,D058186,let-7a
DB00467,D058186,let-7a
DB00331,D058186,let-7a
DB00544,D058186,let-7a
DB01169,D058186,let-7a
DB00169,D058186,let-7a
DB00783,D009765,let-7a
DB00773,D009765,let-7a
DB03843,D009765,let-7a
DB00331,D009765,let-7a
DB00544,D009765,let-7a
DB01169,D009765,let-7a
DB00169,D009765,let-7a
DB00783,D005757,let-7a
DB00773,D005757,let-7a
DB03843,D005757,let-7a
DB00331,D005757,let-7a
DB00544,D005757,let-7a
DB01169,D005757,let-7a
DB00169,D005757,let-7a
