DrugBankID,DiseaseID
DB01169,D000026
DB01169,D000163
DB01169,D054058
DB01169,D058186
DB01169,D000077192
DB01169,D000236
DB01169,D010520
DB01169,D000437
DB01169,D000544
DB01169,D000690
DB01169,D000751
DB01169,D000755
DB01169,D001008
DB01169,D017544
DB01169,D017545
DB01169,D001022
DB01169,D015535
DB01169,D001172
DB01169,D001228
DB01169,D001249
DB01169,D050197
DB01169,D001281
DB01169,D001289
DB01169,D001327
DB01169,D056735
DB01169,D053713
DB01169,D017086
DB01169,D001661
DB01169,D058249
DB01169,D002545
DB01169,D001943
DB01169,C537017
DB01169,D002280
DB01169,D006528
DB01169,D002278
DB01169,D002289
DB01169,D000077216
DB01169,D002292
DB01169,D002294
DB01169,D002295
DB01169,D002296
DB01169,D006332
DB01169,D009202
DB01169,D066126
DB01169,D002318
DB01169,D002357
DB01169,D002386
DB01169,D002446
DB01169,D016543
DB01169,D002561
DB01169,D018281
DB01169,D002779
DB01169,D055113
DB01169,D002972
DB01169,D019970
DB01169,D003072
DB01169,D060825
DB01169,D003110
DB01169,D015179
DB01169,D003323
DB01169,D003324
DB01169,D003327
DB01169,D000086382
DB01169,D003424
DB01169,D003865
DB01169,D003872
DB01169,D003876
DB01169,D002658
DB01169,D016640
DB01169,D003920
DB01169,D003922
DB01169,D003924
DB01169,D058065
DB01169,D003928
DB01169,D003930
DB01169,D004314
DB01169,D050171
DB01169,D020964
DB01169,D016889
DB01169,D004715
DB01169,D004719
DB01169,D020345
DB01169,D004769
DB01169,D004806
DB01169,D004827
DB01169,D004833
DB01169,D004938
DB01169,D000077277
DB01169,D000075222
DB01169,D000795
DB01169,D065627
DB01169,D063647
DB01169,D005317
DB01169,D005355
DB01169,D005706
DB01169,D005757
DB01169,D005909
DB01169,D005910
DB01169,D005922
DB01169,D015433
DB01169,D014890
DB01169,D006223
DB01169,D006323
DB01169,D006333
DB01169,D006402
DB01169,D006509
DB01169,D006526
DB01169,D006689
DB01169,D006949
DB01169,D006967
DB01169,D006973
DB01169,D006976
DB01169,D017379
DB01169,D000860
DB01169,D054990
DB01169,D007246
DB01169,D007248
DB01169,D007249
DB01169,D015212
DB01169,D058922
DB01169,D007333
DB01169,D055959
DB01169,D007511
DB01169,D000083242
DB01169,D007674
DB01169,D007822
DB01169,D007938
DB01169,D015451
DB01169,D015459
DB01169,D015464
DB01169,D015470
DB01169,D020961
DB01169,D008103
DB01169,D008107
DB01169,D008113
DB01169,D008171
DB01169,D055370
DB01169,D008175
DB01169,D008180
DB01169,D008223
DB01169,D016393
DB01169,D016403
DB01169,D008228
DB01169,D008268
DB01169,D008269
DB01169,D008288
DB01169,D008527
DB01169,D008545
DB01169,D001523
DB01169,D008659
DB01169,D024821
DB01169,D009062
DB01169,D009080
DB01169,D052016
DB01169,D009101
