drug,miRNA,disease
DB00773,let-7d,D034701
DB00773,let-7d,D006566
DB00773,let-7d,D056770
DB00773,let-7d,D007822
DB00773,let-7d,D004769
DB00773,let-7d,D013981
DB00773,let-7d,D009298
DB00773,let-7d,D010505
DB00773,let-7d,D010520
DB00773,let-7d,D001661
DB00773,let-7d,D007246
DB00773,let-7d,D015433
DB00773,let-7d,D001228
DB00773,let-7d,D020370
DB00773,let-7d,D000751
DB00773,let-7d,D011671
DB00773,let-7d,C535608
DB00773,let-7d,C536494
DB00773,let-7d,D014397
DB00773,let-7d,D009456
DB00773,let-7d,D012859
DB00773,let-7d,D059226
DB00773,let-7d,C562602
DB00773,let-7d,D017545
DB00773,let-7d,D014929
DB00773,let-7d,D018269
DB00773,let-7d,D013272
DB00773,let-7d,D010001
DB00773,let-7d,D009080
DB00773,let-7d,D057765
DB00773,let-7d,C536629
DB00773,let-7d,D018979
DB00773,let-7d,D010518
DB00773,let-7c,D034701
DB00773,let-7c,D006566
DB00773,let-7c,D056770
DB00773,let-7c,D000795
DB00773,let-7c,D007822
DB00773,let-7c,D004769
DB00773,let-7c,D002296
DB00773,let-7c,D009298
DB00773,let-7c,D014376
DB00773,let-7c,D011236
DB00773,let-7c,D010520
DB00773,let-7c,D000081029
DB00773,let-7c,D001228
DB00773,let-7c,D020370
DB00773,let-7c,D000751
DB00773,let-7c,D018218
DB00773,let-7c,D001289
DB00773,let-7c,D012173
DB00773,let-7c,D000163
DB00773,let-7c,D006509
DB00773,let-7c,D058249
DB00773,let-7c,D004806
DB00773,let-7c,C536494
DB00773,let-7c,D014397
DB00773,let-7c,D009456
DB00773,let-7c,D012859
DB00773,let-7c,D059226
DB00773,let-7c,C562602
DB00773,let-7c,D017545
DB00773,let-7c,D014929
DB00773,let-7c,D018269
DB00773,let-7c,D013272
DB00773,let-7c,D010001
DB00773,let-7c,D009080
DB00773,let-7c,D057765
DB00773,let-7c,C536629
DB00773,let-7c,D018979
DB00773,let-7c,D010518
DB00773,let-7f,D034701
DB00773,let-7f,D006566
DB00773,let-7f,D000795
DB00773,let-7f,D007822
DB00773,let-7f,D004769
DB00773,let-7f,D002296
DB00773,let-7f,D009298
DB00773,let-7f,D010505
