drug,miRNA,disease
DB00783,let-7a,D018218
DB00783,let-7a,D011671
DB00783,let-7a,D059226
DB00783,let-7a,C562602
DB00783,let-7a,C536629
DB00783,let-7e,D000795
DB00783,let-7e,D018218
DB00783,let-7e,D011671
DB00783,let-7e,D059226
DB00783,let-7e,C562602
DB00783,let-7e,C536629
DB00783,let-7d,D011671
DB00783,let-7d,D059226
DB00783,let-7d,C562602
DB00783,let-7d,C536629
DB00783,let-7c,D000795
DB00783,let-7c,D011236
DB00783,let-7c,D018218
DB00783,let-7c,D059226
DB00783,let-7c,C562602
DB00783,let-7c,C536629
DB00783,let-7b,D000795
DB00783,let-7b,D011236
DB00783,let-7b,D018218
DB00783,let-7b,D011671
DB00783,let-7b,C562602
DB00783,let-7g,D000795
DB00783,let-7g,D011236
DB00783,let-7g,D018218
DB00783,let-7g,D011671
DB00783,let-7g,D059226
DB00783,let-7g,C536629
DB00783,let-7i,D000795
DB00783,let-7i,D011236
DB00783,let-7i,D018218
DB00783,let-7i,D011671
DB00783,let-7i,D059226
DB00783,let-7i,C562602
DB00783,let-7i,C536629
DB00783,let-7f,D000795
DB00783,let-7f,D011236
DB00783,let-7f,D018218
DB00783,let-7f,D011671
DB00783,let-7f,D059226
DB00783,let-7f,C562602
DB00773,let-7a,D001228
DB00773,let-7a,D020370
DB00773,let-7a,D000751
DB00773,let-7a,D018218
DB00773,let-7a,D001289
DB00773,let-7a,D012173
DB00773,let-7a,D000163
DB00773,let-7a,D006509
DB00773,let-7a,D058249
DB00773,let-7a,D004806
DB00773,let-7a,D011671
DB00773,let-7a,C535608
DB00773,let-7a,C536494
DB00773,let-7a,D014397
DB00773,let-7a,D009456
DB00773,let-7a,D012859
DB00773,let-7a,D059226
DB00773,let-7a,C562602
DB00773,let-7a,D017545
DB00773,let-7a,D014929
DB00773,let-7a,D018269
DB00773,let-7a,D013272
DB00773,let-7a,D010001
DB00773,let-7a,D009080
DB00773,let-7a,D057765
DB00773,let-7a,C536629
DB00773,let-7a,D018979
DB00773,let-7a,D010518
DB00773,let-7e,D034701
DB00773,let-7e,D006566
DB00773,let-7e,D056770
DB00773,let-7e,D000795
DB00773,let-7e,D007822
DB00773,let-7e,D004769
DB00773,let-7e,D002296
DB00773,let-7e,D009298
DB00773,let-7e,D010505
DB00773,let-7e,D010520
DB00773,let-7e,D001661
DB00773,let-7e,D007246
DB00773,let-7e,D015433
DB00773,let-7e,D018218
DB00773,let-7e,D001289
DB00773,let-7e,D012173
DB00773,let-7e,D000163
DB00773,let-7e,D006509
DB00773,let-7e,D058249
DB00773,let-7e,D004806
DB00773,let-7e,D011671
DB00773,let-7e,C535608
DB00773,let-7e,C536494
DB00773,let-7e,D014397
DB00773,let-7e,D009456
DB00773,let-7e,D012859
DB00773,let-7e,D059226
DB00773,let-7e,C562602
DB00773,let-7e,D017545
DB00773,let-7e,D014929
DB00773,let-7e,D018269
DB00773,let-7e,D013272
DB00773,let-7e,D010001
DB00773,let-7e,D009080
DB00773,let-7e,D057765
DB00773,let-7e,C536629
DB00773,let-7e,D018979
DB00773,let-7e,D010518
DB00773,let-7d,D003920
DB00773,let-7d,D010003
DB00773,let-7d,D002357
DB00773,let-7d,D058186
DB00773,let-7d,D005757
DB00773,let-7d,D000072716
DB00773,let-7d,D006967
DB00773,let-7d,D003872
DB00773,let-7d,D020964
DB00773,let-7d,D000795
DB00773,let-7d,D010024
DB00773,let-7d,D000086382
DB00773,let-7d,D000072660
DB00773,let-7d,D012175
DB00773,let-7d,D008171
DB00773,let-7d,D018239
DB00773,let-7d,D010300
DB00773,let-7d,D008545
DB00773,let-7d,D003110
DB00773,let-7d,D012516
DB00773,let-7d,D017544
DB00773,let-7d,D014657
DB00773,let-7d,D006949
DB00773,let-7d,D008228
DB00773,let-7d,D008113
DB00773,let-7d,D008103
DB00773,let-7d,D018281
DB00773,let-7d,D002296
DB00773,let-7d,D002658
DB00773,let-7d,D006333
DB00773,let-7d,D003930
DB00773,let-7d,D006689
DB00773,let-7d,D058922
DB00773,let-7d,D002561
DB00773,let-7d,D014376
DB00773,let-7d,D066126
DB00773,let-7d,D013119
DB00773,let-7d,D007674
DB00773,let-7d,D011236
DB00773,let-7d,D006526
DB00773,let-7d,D016640
DB00773,let-7d,D053713
DB00773,let-7d,D024821
DB00773,let-7d,D006323
DB00773,let-7d,D050500
DB00773,let-7d,D000081029
DB00773,let-7d,D008223
DB00773,let-7d,D015459
DB00773,let-7d,D009133
DB00773,let-7d,D001749
DB00773,let-7d,D003865
DB00773,let-7d,D029424
DB00773,let-7d,D064726
DB00773,let-7d,D009767
DB00773,let-7d,D001281
DB00773,let-7d,D003928
DB00773,let-7d,D007249
DB00773,let-7d,D001022
DB00773,let-7d,D015451
DB00773,let-7d,D006457
DB00773,let-7d,D055959
DB00773,let-7d,D012164
DB00773,let-7d,D006332
DB00773,let-7d,D000075222
DB00773,let-7d,D013964
DB00773,let-7d,D000077274
DB00773,let-7d,D007938
DB00773,let-7d,D020371
DB00773,let-7d,D006402
DB00773,let-7d,D010911
DB00773,let-7d,D012509
DB00773,let-7d,D018218
DB00773,let-7d,D001289
DB00773,let-7d,D012173
DB00773,let-7d,D000163
DB00773,let-7d,D006509
DB00773,let-7d,D058249
DB00773,let-7d,D004806
DB00773,let-7d,D020961
DB00773,let-7d,D011832
DB00773,let-7d,D050197
DB00773,let-7d,D008269
DB00773,let-7d,D016403
DB00773,let-7d,D002545
DB00773,let-7d,D002972
DB00773,let-7d,D054990
DB00773,let-7d,D016889
DB00773,let-7d,D009157
DB00773,let-7d,D000026
DB00773,let-7d,D064129
DB00773,let-7d,D006973
DB00773,let-7d,D058226
DB00773,let-7d,D000077192
DB00773,let-7d,D015212
DB00773,let-7d,D020388
DB00773,let-7d,D015428
DB00773,let-7d,D008659
DB00773,let-7d,D017379
DB00773,let-7d,D010190
DB00773,let-7d,D009062
DB00773,let-7d,D014029
DB00773,let-7d,D002292
DB00773,let-7d,D002295
DB00773,let-7d,D000083242
DB00773,let-7d,D000236
DB00773,let-7d,C537017
DB00773,let-7d,D060825
DB00773,let-7d,D009103
DB00773,let-7d,D003424
DB00773,let-7d,D013921
DB00773,let-7d,D011655
DB00773,let-7d,D009442
DB00773,let-7d,D015535
DB00773,let-7d,D053201
DB00773,let-7d,D015464
DB00773,let-7d,D003324
DB00773,let-7d,D004715
DB00773,let-7d,D054198
DB00773,let-7d,D003327
DB00773,let-7d,D004833
DB00773,let-7d,D004827
DB00773,let-7d,D005317
DB00773,let-7d,D006976
DB00773,let-7d,D006561
DB00773,let-7d,D016543
DB00773,let-7d,D015470
DB00773,let-7d,D008527
DB00773,let-7d,D002294
DB00773,let-7d,D052016
DB00773,let-7d,D065626
DB00773,let-7d,D009447
DB00773,let-7d,D006223
DB00773,let-7d,D016393
DB00773,let-7d,C535531
DB00773,let-7d,D063647
DB00773,let-7d,D002446
DB00773,let-7d,D014277
DB00773,let-7d,D002280
DB00773,let-7d,D010534
DB00773,let-7d,D015427
DB00773,let-7d,D014605
DB00773,let-7d,D017086
DB00773,let-7d,D003072
DB00773,let-7d,D005706
DB00773,let-7d,D000860
DB00773,let-7d,D002278
DB00773,let-7d,D007511
DB00773,let-7d,D008288
DB00773,let-7d,D014890
DB00773,let-7d,D003876
DB00773,let-7d,D065627
DB00773,let-7d,D007248
DB00773,let-7d,D003323
DB00773,let-7d,D000755
DB00773,let-7d,D054058
DB00773,let-7d,D004938
DB00773,let-7d,D004719
DB00773,let-7d,D011014
DB00773,let-7d,D050171
DB00773,let-7d,D000690
DB00773,let-7d,D055113
DB00773,let-7d,D011470
DB00773,let-7d,D009202
DB00773,let-7d,D014947
DB00773,let-7d,D014652
DB00773,let-7d,D056735
DB00773,let-7d,D008180
DB00773,let-7c,D003920
DB00773,let-7c,D000544
DB00773,let-7c,D002357
DB00773,let-7c,D009203
DB00773,let-7c,D058186
DB00773,let-7c,D009765
DB00773,let-7c,D005757
DB00773,let-7c,D000072716
DB00773,let-7c,D006967
DB00773,let-7c,D003872
DB00773,let-7c,D000077273
DB00773,let-7c,D020964
DB00773,let-7c,D000077277
DB00773,let-7c,D012559
DB00773,let-7c,D010051
DB00773,let-7c,D010024
DB00773,let-7c,D000086382
