DiseaseID,miRNA
D003920,let-7a
D008175,let-7a
D000544,let-7a
D010003,let-7a
D002357,let-7a
D001943,let-7a
D009203,let-7a
D058186,let-7a
D009765,let-7a
D005757,let-7a
D034701,let-7a
D006566,let-7a
D000072716,let-7a
D056770,let-7a
D006967,let-7a
D003872,let-7a
D000077273,let-7a
D020964,let-7a
D000077277,let-7a
D011225,let-7a
D012559,let-7a
D010051,let-7a
D000795,let-7a
D010024,let-7a
D002583,let-7a
D000086382,let-7a
D003924,let-7a
D015179,let-7a
D000072660,let-7a
D012175,let-7a
D008171,let-7a
D002289,let-7a
D000077195,let-7a
D018239,let-7a
D010300,let-7a
D008545,let-7a
D003110,let-7a
D018805,let-7a
D007822,let-7a
D012516,let-7a
D017544,let-7a
D014657,let-7a
D001249,let-7a
D004769,let-7a
D013981,let-7a
D006949,let-7a
D008228,let-7a
D008113,let-7a
D008103,let-7a
D018281,let-7a
D002296,let-7a
D002658,let-7a
D006333,let-7a
D013274,let-7a
D008268,let-7a
D003930,let-7a
D006689,let-7a
D002386,let-7a
D000077216,let-7a
D058922,let-7a
D009298,let-7a
D001172,let-7a
D002561,let-7a
D009190,let-7a
D010505,let-7a
D014376,let-7a
D066126,let-7a
D013119,let-7a
D009101,let-7a
D007674,let-7a
D011236,let-7a
D010520,let-7a
D006526,let-7a
D016640,let-7a
D001661,let-7a
D011471,let-7a
D002318,let-7a
D007246,let-7a
D053713,let-7a
D006528,let-7a
D002779,let-7a
D024821,let-7a
D006323,let-7a
D050500,let-7a
D005910,let-7a
D000081029,let-7a
D008223,let-7a
D015459,let-7a
D009133,let-7a
D001749,let-7a
D003865,let-7a
D029424,let-7a
D064726,let-7a
D015433,let-7a
D009767,let-7a
D001281,let-7a
D003928,let-7a
D003920,let-7e
D000544,let-7e
D007249,let-7e
D001022,let-7e
D001228,let-7e
D020370,let-7e
D015451,let-7e
D010051,let-7e
D003865,let-7e
D008113,let-7e
D006457,let-7e
D015179,let-7e
D013981,let-7e
D003924,let-7e
D002289,let-7e
D055959,let-7e
D000081029,let-7e
D009765,let-7e
D000751,let-7e
D012164,let-7e
D006332,let-7e
D001943,let-7e
D014376,let-7e
D013274,let-7e
D000075222,let-7e
