DrugBankID,DiseaseID
DB00783,D003920
DB00773,D003920
DB03843,D003920
DB00331,D003920
DB00544,D003920
DB01169,D003920
DB00169,D003920
DB00783,D008175
DB00773,D008175
DB03843,D008175
DB00467,D008175
DB00331,D008175
DB00544,D008175
DB01169,D008175
DB00169,D008175
DB00783,D000544
DB00773,D000544
DB03843,D000544
DB00331,D000544
DB00544,D000544
DB01169,D000544
DB00169,D000544
DB00783,D010003
DB00773,D010003
DB03843,D010003
DB00331,D010003
DB00544,D010003
DB01169,D010003
DB00169,D010003
DB00783,D002357
DB00773,D002357
DB03843,D002357
DB00331,D002357
DB00544,D002357
DB01169,D002357
DB00783,D001943
DB00773,D001943
DB03843,D001943
DB00467,D001943
DB00331,D001943
DB00544,D001943
DB01169,D001943
DB00169,D001943
DB00783,D009203
DB00773,D009203
DB03843,D009203
DB00331,D009203
DB00544,D009203
DB01169,D009203
DB00169,D009203
DB00783,D058186
DB00773,D058186
DB03843,D058186
DB00467,D058186
DB00331,D058186
DB00544,D058186
DB01169,D058186
DB00169,D058186
DB00783,D009765
DB00773,D009765
DB03843,D009765
DB00331,D009765
DB00544,D009765
DB01169,D009765
DB00169,D009765
DB00783,D005757
DB00773,D005757
DB03843,D005757
DB00331,D005757
DB00544,D005757
DB01169,D005757
DB00169,D005757
DB00783,D034701
DB00783,D006566
DB00783,D000072716
DB00773,D000072716
DB00331,D000072716
DB00783,D056770
DB00783,D006967
DB00773,D006967
DB03843,D006967
DB00331,D006967
DB00544,D006967
DB01169,D006967
DB00169,D006967
DB00783,D003872
DB00773,D003872
DB03843,D003872
DB00331,D003872
DB00544,D003872
DB01169,D003872
DB00169,D003872
DB00783,D000077273
DB00773,D000077273
DB03843,D000077273
DB00331,D000077273
DB00544,D000077273
DB01169,D000077273
DB00783,D020964
DB00773,D020964
DB03843,D020964
DB00331,D020964
DB00544,D020964
DB01169,D020964
DB00169,D020964
DB00783,D000077277
DB00773,D000077277
DB03843,D000077277
DB00331,D000077277
DB00544,D000077277
DB01169,D000077277
DB00169,D000077277
DB00783,D011225
DB00773,D011225
DB03843,D011225
DB00331,D011225
DB00544,D011225
DB01169,D011225
DB00169,D011225
DB00783,D012559
DB00773,D012559
DB03843,D012559
DB00467,D012559
DB00331,D012559
DB00544,D012559
DB01169,D012559
DB00169,D012559
DB00783,D010051
DB00773,D010051
DB03843,D010051
DB00331,D010051
DB00544,D010051
DB01169,D010051
DB00169,D010051
DB03843,D000795
DB00544,D000795
DB01169,D000795
DB00783,D010024
DB00773,D010024
DB03843,D010024
DB00331,D010024
DB00544,D010024
DB01169,D010024
DB00169,D010024
DB00783,D002583
DB00773,D002583
DB03843,D002583
DB00331,D002583
DB00544,D002583
DB01169,D002583
DB00169,D002583
DB00783,D000086382
DB00773,D000086382
DB03843,D000086382
DB00331,D000086382
DB00544,D000086382
DB01169,D000086382
DB00169,D000086382
DB00783,D003924
DB00773,D003924
DB03843,D003924
DB00467,D003924
DB00331,D003924
DB00544,D003924
DB01169,D003924
DB00169,D003924
DB00783,D015179
DB00773,D015179
DB03843,D015179
DB00467,D015179
DB00331,D015179
DB00544,D015179
DB01169,D015179
DB00169,D015179
DB00783,D000072660
DB00773,D000072660
DB03843,D000072660
DB00331,D000072660
DB00544,D000072660
DB01169,D000072660
DB00169,D000072660
DB00783,D012175
DB00773,D012175
DB00544,D012175
DB01169,D012175
DB00169,D012175
DB00783,D008171
DB00773,D008171
DB03843,D008171
DB00331,D008171
DB00544,D008171
DB01169,D008171
DB00169,D008171
DB00783,D002289
DB00773,D002289
DB03843,D002289
DB00467,D002289
DB00331,D002289
DB00544,D002289
DB01169,D002289
DB00169,D002289
DB00783,D000077195
DB00773,D000077195
DB03843,D000077195
DB00331,D000077195
DB00544,D000077195
DB01169,D000077195
DB00169,D000077195
DB00783,D018239
DB00773,D018239
DB03843,D018239
DB00331,D018239
DB00544,D018239
DB01169,D018239
DB00783,D010300
DB00773,D010300
DB03843,D010300
DB00467,D010300
DB00331,D010300
DB00544,D010300
DB01169,D010300
DB00169,D010300
DB00783,D008545
DB00773,D008545
DB03843,D008545
DB00331,D008545
DB00544,D008545
DB01169,D008545
DB00169,D008545
DB00783,D003110
DB00773,D003110
DB03843,D003110
DB00467,D003110
DB00331,D003110
DB00544,D003110
DB01169,D003110
DB00169,D003110
DB00783,D018805
DB00773,D018805
DB03843,D018805
DB00331,D018805
DB00544,D018805
DB01169,D018805
DB00169,D018805
DB00783,D007822
DB00544,D007822
DB01169,D007822
DB00783,D012516
DB00773,D012516
DB03843,D012516
DB00467,D012516
DB00331,D012516
DB00544,D012516
DB01169,D012516
DB00169,D012516
DB00783,D017544
DB00773,D017544
DB03843,D017544
DB00331,D017544
DB00544,D017544
DB01169,D017544
DB00169,D017544
DB00783,D014657
DB00773,D014657
DB03843,D014657
DB00331,D014657
DB00544,D014657
DB01169,D014657
DB00783,D001249
DB00773,D001249
DB03843,D001249
DB00467,D001249
DB00331,D001249
DB00544,D001249
DB01169,D001249
DB00169,D001249
DB00783,D004769
DB03843,D004769
DB00331,D004769
DB01169,D004769
DB00783,D013981
DB00783,D006949
DB00773,D006949
DB03843,D006949
DB00331,D006949
DB00544,D006949
DB01169,D006949
DB00169,D006949
DB00783,D008228
DB00773,D008228
DB03843,D008228
DB00331,D008228
DB00544,D008228
DB01169,D008228
DB00169,D008228
DB00783,D008113
DB00773,D008113
DB03843,D008113
DB00331,D008113
DB00544,D008113
DB01169,D008113
DB00169,D008113
DB00783,D008103
DB00773,D008103
DB03843,D008103
DB00467,D008103
DB00331,D008103
DB00544,D008103
DB01169,D008103
DB00169,D008103
DB00783,D018281
DB00773,D018281
DB03843,D018281
DB00331,D018281
DB00544,D018281
DB01169,D018281
DB00169,D018281
DB00783,D002296
DB03843,D002296
DB00331,D002296
DB00544,D002296
DB01169,D002296
DB00169,D002296
DB00783,D002658
DB00773,D002658
DB03843,D002658
DB00331,D002658
DB00544,D002658
DB01169,D002658
DB00169,D002658
DB00783,D006333
DB00773,D006333
DB03843,D006333
DB00331,D006333
DB00544,D006333
DB01169,D006333
DB00169,D006333
DB00783,D013274
DB00773,D013274
DB03843,D013274
DB00467,D013274
DB00331,D013274
DB00544,D013274
DB01169,D013274
DB00169,D013274
DB00783,D008268
DB00773,D008268
DB03843,D008268
DB00331,D008268
DB00544,D008268
DB01169,D008268
DB00169,D008268
DB00783,D003930
DB00773,D003930
DB03843,D003930
DB00331,D003930
DB00544,D003930
DB01169,D003930
DB00169,D003930
DB00783,D006689
DB00773,D006689
DB03843,D006689
DB00467,D006689
DB00331,D006689
DB00544,D006689
DB01169,D006689
DB00783,D002386
DB00773,D002386
DB03843,D002386
DB00331,D002386
DB00544,D002386
DB01169,D002386
DB00169,D002386
DB00783,D000077216
DB00773,D000077216
DB03843,D000077216
DB00331,D000077216
DB00544,D000077216
DB01169,D000077216
DB00169,D000077216
DB00783,D058922
DB00773,D058922
DB03843,D058922
DB00331,D058922
DB00544,D058922
DB01169,D058922
DB00783,D009298
DB00331,D009298
DB00544,D009298
DB01169,D009298
DB00783,D001172
DB00773,D001172
DB03843,D001172
DB00331,D001172
DB00544,D001172
DB01169,D001172
DB00169,D001172
DB00783,D002561
DB00773,D002561
DB03843,D002561
DB00331,D002561
DB00544,D002561
DB01169,D002561
DB00169,D002561
DB00783,D009190
DB00773,D009190
DB03843,D009190
DB00331,D009190
DB00544,D009190
DB01169,D009190
DB00169,D009190
DB00783,D010505
DB00783,D014376
DB03843,D014376
DB01169,D014376
DB00169,D014376
DB00783,D066126
DB00773,D066126
DB03843,D066126
DB00331,D066126
